model,input,date,mape,rmse,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12
ARIMAX_2,공급_large,10y,7.7415383,113.252287,674.367521,749.04267,753.920592,786.303884,897.523172,1201.52272,1375.92142,1098.34993,1248.51662,1090.86861,1056.84959,1043.82185
ARIMAX_2,전부 다,1y,10.1672336,147.961144,678,808,750,806,928,1293,1437,941,1308,1003,1017,1030
ARIMAX_2,전부 다,3y,10.6681134,154.364193,686,808,757,806,928,1141.88258,1437,916.921168,1308,1003,1017,1030
ARIMAX_2,전부 다,5y,9.87852384,147.311461,678,808,757,806,928,1293,1437,941,1308,1103,1060,1030
ARIMAX_3,공급_small,1y,10.4273487,155.060533,691.422627,783.957796,763.210219,849.177385,866.155567,1293,1437,941,1308,1163.73654,988.564313,1009.28588
ARIMAX_3,공급_small,3y,11.055855,174.39923,661.815942,776.804226,769.383624,825.405877,886.617168,1293,1437,941,1469.26011,1072.71074,1060.84865,985.707519
ARIMAX_3,공급_small,5y,11.1171464,172.376188,678,774.420564,763.312472,821.491287,888.330655,1205.50993,1428.68448,941,1466.14678,1103,1060,990.890387
ARIMAX_3,공급_small,10y,9.42177479,152.145832,678,768.848723,773.013539,814.336485,897.523172,1201.52272,1426.92642,1098,1444.549,1103,1060,1045
ARIMAX_3,공급_large,1y,10.1835534,148.459593,691.422627,808,754.284757,806,928,1327.10253,1437,941,1308,1115.25937,1017,1030
ARIMAX_3,공급_large,3y,7.68465833,120.435753,661.445436,775.622072,769.383624,798.480686,883.172902,1293,1437,1133.31685,1162.21038,1072.71074,1060.84865,985.707519
ARIMAX_3,공급_large,5y,9.3356242,144.111381,678,774.420564,763.312472,821.491287,873.480108,1205.50993,1428.68448,941.424068,1247.40641,1103,1060,1051.11083
ARIMAX_3,공급_large,10y,9.04651783,131.52493,678,767.02702,753.413393,783.761359,876.110031,1201.52272,1404.5674,1001.99204,1242.65682,1103,1060,1045
ARIMAX_3,전부 다,1y,9.62956774,142.741235,685.664191,808,757.178827,806,928,1293,1437,941,1262.95084,1112.61687,1017,1030
ARIMAX_3,전부 다,3y,10.4195369,173.312532,694.204082,776.804226,769.383624,825.405877,886.617168,1293,1438.36756,941,1469.26011,1059.31935,1043.52135,1077.05933
ARIMAX_3,전부 다,5y,11.0564077,171.143209,678,774.420564,763.312472,821.491287,888.330655,1217.86043,1428.68448,941,1459.34643,1112.24078,1060,990.890387
Linear regression_0,단변량,3m,51.20799061,379.6955415,677.1874854,673.8437305,670.5141563,667.5313372,664.8189877,662.3211111,660.014111,657.8834676,655.9161337,654.099714,652.4226403,650.8742175
Linear regression_0,단변량,1y,50.93416531,379.8365043,686.7718663,686.1304697,675.2068237,667.2717022,661.7754423,655.5403763,655.086306,658.2168326,658.9605795,658.634675,656.4208363,650.8646111
Linear regression_0,단변량,3y,77.12800984,476.373629,694.9155723,660.0496562,629.8034108,593.5191348,556.936155,520.3470591,513.0177627,528.8996336,531.4972754,548.0809639,574.5114341,576.8725927
