no,feature,importance
1,"수출물가지수-형강 (2015=100, 계약통화기준)",39.61790466
2,철강생산량-중후판,2.828058004
3,생산자물가지수-중후판(두께3mm이상) (2015=100),2.812436342
4,철강생산량-철강재,1.406218171
5,철강생산량-열연강판,0.649049759
6,철강생산량-철근,0.126890898
