no,feature,importance
1,철강생산량-선재,39.61790848
2,원달러 환율-Open,2.828058004
3,철강생산량-석도강판,2.812436342
4,원달러 환율-High,0.649049759
5,원유 가격-Europe Brent Spot Price FOB (Dollars per Barrel),0.126890898
