시행업체명,시공업체명,사업구분명,지역구분코드,지역상세구분코드,지역구분코드명,지역상세구분코드명,사업규모내용,사업구분명,총세대수,일반분양세대수,조합원세대수,임대보증세대수,분양가격,모집공고승인일자,분양개시일자
한신공영(주),"한신공영(주),",부산 서대신3구역 주택재개발정비사업,02,0202,부산광역시,부산 서구,"최저 24 층 ~ 최고 24층, 5동",재개발,321,234,57,30,8412650,20111123,20111130
아시아신탁(주),"(주)호반산업,",부산 사하구 괴정 참누리 아파트,02,0204,부산광역시,부산 사하구,"최저 -3 층 ~ 최고 15층, 2동",일반분양,168,165,0,0,6891167,20111103,
(주)삼정,"(주)삼정,",초읍 삼정그린코아 아파트,02,0214,부산광역시,부산 부산진구,"최저 11 층 ~ 최고 11층, 1동",일반분양,49,49,0,0,7086617,20110824,
벽산건설(주),"벽산건설(주),",부산 금곡2구역 재개발정비사업(율리역 벽산블루밍),02,0216,부산광역시,부산 북구,"최저 -3 층 ~ 최고 25층, 8동",재개발,589,437,101,51,7843191,20110930,
롯데건설(주),"롯데건설(주),",다대 롯데캐슬 블루,02,0204,부산광역시,부산 사하구,"최저 35 층 ~ 최고 35층, 9동",재건축,1326,699,627,0,8100273,20140514,20110923
(주)신세기건설,"(주)신세기건설,(주)동원개발",구포 동원로얄듀크비스타,02,0216,부산광역시,부산 북구,"최저 47 층 ~ 최고 48층, 4동",일반분양,1079,1079,0,0,8932464,20131202,20110830
(주)동원종합개발,"(주)동원종합개발,(주)동원개발",수영강 동원로얄듀크,02,0213,부산광역시,부산 수영구,"최저 0 층 ~ 최고 0층, 5동",일반분양,430,423,0,0,11800908,20111017,
(주)코람코자산신탁,"(주)유림이엔씨,",부산 범천동 더블루 수,02,0214,부산광역시,부산 부산진구,"최저 -4 층 ~ 최고 37층, 2동",일반분양,381,381,0,0,8524953,20110705,20110729
(주)동원종합건설,"(주)동원종합건설,(주)동원개발",정관 2차 동원로얄듀크,02,0219,부산광역시,부산 기장군,"최저 17 층 ~ 최고 20층, 16동",일반분양,1292,1249,0,0,7247312,20111128,
에이치디씨현대산업개발(주),"에이치디씨현대산업개발(주),",부산 명륜동 아이파크(명륜3구역주택재개발정비사업),02,0207,부산광역시,부산 동래구,"최저 3 층 ~ 최고 28층, 20동",재개발,1428,1043,242,124,8901880,20110609,20110615
코리아신탁(주),"(주)삼정기업,",백양산 삼정 그린코아,02,0214,부산광역시,부산 부산진구,"최저 15 층 ~ 최고 15층, 1동",일반분양,215,215,0,0,6649235,20110601,
(주)파크플러스,"화성산업(주),",범어숲화성파크드림S,03,0306,대구광역시,대구 수성구,"최저 34 층 ~ 최고 35층, 4동",일반분양,571,404,0,0,11350788,20110520,
(주)도시와풍경,"(주)삼정,(주)브리티시건설",삼정브리티시 용산,03,0304,대구광역시,대구 달서구,"최저 26 층 ~ 최고 34층, 5동",일반분양,866,767,0,0,6637388,20120507,
(주)이시아폴리스,"(주)포스코건설,",봉무이시아폴리스더샵2차신축공사,03,0301,대구광역시,대구 동구,"최저 18 층 ~ 최고 18층, 11동",일반분양,754,750,0,0,6436541,20130220,20110614
대한토지신탁(주),"코오롱글로벌(주),",칠성동 코오롱 하늘채,03,0302,대구광역시,대구 북구,"최저 20 층 ~ 최고 34층, 4동",일반분양,539,464,0,0,7240401,20111230,
일성건설(주),"일성건설(주),",대구 침산동 강변 일성트루엘,03,0302,대구광역시,대구 북구,"최저 -2 층 ~ 최고 37층, 3동",일반분양,323,323,0,0,6712007,20111103,20111128
케이비부동산신탁(주),"진흥기업(주),",반월당역 효성그룹 더 루벤스,03,0300,대구광역시,대구 중구,"최저 24 층 ~ 최고 29층, 5동",일반분양,505,499,0,0,7609012,20140519,20111021
