Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),BS_Additional Paid-In Capital,BS_Contract Assets - Long Term,BS_Deferred Income Tax - Current Liability,BS_Deferred Income Tax - LT Liability,BS_Deferred Revenue - Long Term,BS_Earnings Quality Score,BS_LT Investments - Other,BS_Long Term Investments,BS_Minimum Pension Liability Adjustment,BS_Minority Interest - Non Redeemable,BS_Note Receivable - Long Term,BS_Oper. Lse. Pymts. Due in Year 6 & Beyond,BS_Operating Lease Payments Due in Year 1,BS_Other Comprehensive Income,"BS_Other Current Assets, Total",BS_Other Current Liabilities,BS_Other Equity,"BS_Other Equity, Total",BS_Other Long Term Assets,BS_Other Long Term Liabilities,BS_Other Property/Plant/Equipment - Gross,"BS_Property/Plant/Equipment, Total - Gross",BS_Shares Outs - Common Stock Primary Issue,BS_Short Term Investments,BS_Total Common Shares Outstanding,BS_Total Long Term Debt,"BS_Total Operating Leases, Supplemental",BS_Translation Adjustment,BS_Treas Shares - Common Stock Prmry Issue,BS_Treasury Stock - Common,CAPEX(천원),CF_Accounts Payable,CF_Accounts Receivable,CF_Accrued Expenses,CF_Cash Interest Paid,CF_Cash Taxes Paid,"CF_Issuance (Retirement) of Debt, Net","CF_Issuance (Retirement) of Stock, Net","CF_Long Term Debt, Net",CF_Net Cash - Beginning Balance,CF_Net Change in Cash,CF_Non-Cash Items,CF_Other Assets,CF_Other Financing Cash Flow,"CF_Other Investing Cash Flow Items, Total",CF_Other Liabilities,CF_Other Non-Cash Items,CF_Purchase of Fixed Assets,CF_Purchase of Investments,CF_Repurchase/Retirement of Common,CF_Sale of Business,CF_Sale/Maturity of Investment,"CF_Short Term Debt, Net",CF_Total Cash Dividends Paid,EBITDA2마진율(비율),"FS_Average Net Trade Cycle Days, TTM","FS_Average Payables Payment Days, TTM",FS_Earnings Retention Rate,"FS_Free Cash Flow Yield - %, TTM",FS_Income Tax Rate - %,FS_Income before Tax Margin - %,"FS_Income before Tax Margin - %, TTM",FS_Interest Coverage Ratio,FS_Net Cash Flow from Operating Activities,"FS_Payables Turnover, TTM","FS_Pretax ROA - %, TTM",FS_ROIC,"FS_Reinvestment Rate - %, TTM","FS_Tax Complement, TTM",FS_Total Debt Percentage of Total Equity,FS_Working Capital to Total Assets,Free Cash Flow2(천원),Gross Investment (GI),IS_DPS - Common Stock Primary Issue,"IS_Depreciation, Supplemental",IS_Dilution Adjustment,IS_Dividends per Share - Com Stock Issue 3,IS_Gross Dividends - Common Stock,"IS_Interest Expense, Net Non-Operating","IS_Interest Expense, Supplemental",IS_Interest Income - Non-Operating,IS_Interest/Invest Income - Non-Operating,IS_Investment Income - Non-Operating,"IS_Minority Interest, Supplemental","IS_Other, Net",IS_Provision for Income Taxes,Opex Margin,ROA(비율),ROE(지배)(비율),ROGI(%),단기투자자산,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출채권회전율,매출총이익(천원),무형자산,무형자산감상비 누계,무형자산회전율s,부채비율(비율),비유동비율(천원),순부채(천원),순이익률(비율),운전자본증감(천원),유동비율(비율),유형자산감상비 누계,이익잉여금(천원),이자보상율,인당매출s,인당순이익s,인당영업이익s,재고자산회전율(비율),채무총계,총자산회전율(비율),현금배당성향(%),EV_EBITDA
2010-07-01,8.750293063411034,0.0646035144918824,138,10,43,68,497,94,41,41,-425,439,54,613,407,-386,1060,260,974,588,625,1971,2219,2219,625,3,690,1,1846,-414,72,-2524,100.89,125.1,-377.2,359.5,14.7,608.0,0.7,-1633.9,0.7,4541.7,296.6,471.0,-251.1,28.3,-35.6,-18.8,461.4,-238.2,-13.5,-2070.9,0.0,15.3,0.0,-824.1,17.78,39.14,20.51,1.0,10.16,28.79,13.22,13.52,98.69,1251.61,17.84,23.23,54.07,33.73,0.71,0.05,0.23,2853.4,-267,0.0,125,58,0.68,0,-4,4,9,9,0,-65,-2,206,0.1224069946854106,16.42,62.8,-35.67073170731707,4841,5833,34.03,0.0595821980018165,-15.46394485683987,1845,326,-177,70.84049079754601,352.7336860670194,1.153385049365303,-4401,9.41,26.8,1.46,-1560,4634,14280.0,0.1175039880358923,0.0090631439016284,0.0148470422067131,0.6098912588874947,2,1.72,0.0,5.67
2010-10-01,9.50716473489814,0.1333862281023521,254,10,44,74,504,94,40,40,-425,402,49,613,407,-329,1105,260,688,359,660,2063,2312,2312,639,3,696,0,1846,-414,71,-2564,74.76,-50.0,-486.1,-31.7,14.7,608.0,-1.3,-449.4,-1.3,4838.3,-677.8,104.1,-96.4,67.8,-59.4,-15.4,103.7,-75.5,-0.1,-619.7,0.0,0.0,0.0,-320.7,15.67,47.16,18.72,0.47,8.21,28.31,13.97,13.52,174.68,106.4,19.55,23.98,56.99,49.89,0.71,0.01,0.23,30.9,562,0.45,120,65,0.68,285,-5,5,9,9,0,-71,13,239,0.1276628589070701,17.09,65.42,4.768864177918983,4164,6478,32.16,0.127000695894224,-13.32647603373791,1944,326,-177,73.079754601227,342.233676975945,1.16844276383637,-3762,10.02,-700.1,1.47,-1639,4860,16540.0,0.1167843137254902,0.0091715686274509,0.0146862745098039,0.6840549102428722,0,1.77,0.4702970297029703,7.04
2011-01-01,8.910576199739955,-0.0093797580771682,319,10,45,80,524,94,38,38,-425,455,48,613,407,-239,1151,260,664,425,756,2146,2368,2368,649,5,702,4,1846,-414,69,-2519,77.36,-20.0,-571.5,-280.6,14.7,608.0,-1.3,-515.2,-1.3,4838.3,-160.7,269.1,-255.7,86.6,-116.4,180.7,268.4,-154.1,-0.7,-797.2,0.0,0.7,0.0,-320.7,14.75,45.56,18.12,1.0,6.73,26.92,12.79,13.59,220.12,601.1,20.2,24.35,53.05,46.69,0.72,0.11,0.26,553.4,766,0.0,121,55,0.68,0,-4,4,10,9,-1,-63,-3,208,0.1188423645320197,17.41,60.25,4.327323162274618,4683,6496,31.67,0.1729866377753702,-11.3665791776028,1917,326,-177,76.01840490797545,286.6963540217089,1.006123016977456,-4223,9.35,-930.8,1.55,-1674,5368,12866.66666666667,0.1171626786307743,0.0093421402459288,0.0147662844798936,0.6319680902811557,5,1.79,0.0,8.42
2011-04-01,9.569919063911437,0.0816189843899515,395,10,23,53,563,94,42,42,-425,463,51,613,407,-153,1190,260,791,638,753,2280,2503,2503,646,5,697,0,1846,-414,77,-2994,111.23,-17.8,-678.4,107.9,14.7,608.0,-1.4,-972.7,-1.4,4838.3,418.4,407.4,-331.4,110.8,-115.5,302.3,406.3,-266.7,-6.8,-1441.1,0.0,6.6,0.0,-643.6,16.08,44.56,17.44,0.53,6.86,27.02,14.25,13.59,335.98,1352.96,20.99,24.56,55.59,49.08,0.72,0.11,0.25,1793.7,397,0.45,131,64,0.68,293,-3,3,10,10,0,-71,1,259,0.1318711826762909,17.75,62.92,7.211049723756906,5261,7204,34.37,0.2056903765690377,-10.61910377358491,2310,326,-177,79.78834355828221,301.2924071082391,1.011577813677975,-4794,10.4,-465.8,1.51,-1762,5675,13557.14285714286,0.1183988866733134,0.0095962944499833,0.0148462944499833,0.6462725396967794,5,1.81,0.419170243204578,9.33
2011-07-01,9.683318164128178,0.1066278687988802,525,10,33,72,553,94,40,40,-425,472,49,556,427,-134,1143,260,784,650,938,2406,2425,2425,641,5,691,0,1537,-414,86,-3578,133.61,63.0,-620.5,442.1,14.9,824.4,-1.6,-1614.5,-1.5,4838.3,862.8,532.8,-466.9,138.3,-299.7,434.2,531.3,-403.7,-11.2,-2171.9,0.0,10.9,-0.1,-643.6,17.04,39.83,19.61,1.0,7.63,27.0,13.99,13.77,253.93,1381.28,18.66,24.59,59.98,50.62,0.73,0.1,0.23,3038.0,-6,0.0,141,60,0.68,0,-4,4,12,12,0,-71,5,253,0.1391134652913298,17.88,67.84,-25.98534798534799,5706,7174,33.13,0.229898851362935,-11.56164383561644,2215,326,-177,83.90184049079755,305.568445475638,1.098478989430266,-5230,10.21,38.9,1.45,-1640,6282,11537.5,0.1202040545031572,0.0100081422399468,0.0152573113991359,0.6254031906546944,4,1.79,0.0,8.06
2011-10-01,9.383078254496702,-0.0130518912695338,723,10,26,61,554,94,38,38,-425,453,49,556,427,-452,1081,260,768,316,885,2458,2337,2337,645,5,693,2,1537,-414,88,-3740,79.92,-74.4,-464.7,-19.3,14.9,824.4,0.0,-145.2,0.0,5701.1,-609.2,83.6,-10.1,32.5,-159.0,160.7,83.2,-80.9,-3.6,-285.1,0.0,3.6,-0.1,-474.9,15.75,44.51,17.67,0.33,7.94,28.32,14.04,13.79,236.06,475.26,20.72,26.0,63.57,49.72,0.73,0.15,0.22,394.4,444,0.68,133,62,0.68,433,-4,4,11,-128,-139,-70,144,281,0.1293978126235341,18.89,71.45,7.359840954274354,5097,7589,31.83,0.1715035504785427,-16.33096621476221,2252,326,-177,87.30981595092024,305.9198301035307,1.141263940520446,-4637,10.06,-424.1,1.45,-1591,6468,743.1818181818181,0.1206059322033898,0.0101059322033898,0.0153601694915254,0.6903484035295188,6,1.88,0.6081460674157303,8.73
2012-01-01,8.035618022250558,-0.0981932209406313,1032,10,31,61,541,94,39,39,-425,525,12,556,427,-282,1208,260,714,432,845,2223,2460,2460,644,3,691,1,1537,-414,94,-4109,84.43,-96.9,-264.4,-242.2,14.9,824.4,-0.9,-521.2,-0.9,5701.1,-132.3,274.7,-112.1,31.1,-160.9,240.1,273.9,-166.3,-6.7,-750.1,0.0,6.7,-0.1,-474.9,15.25,44.55,17.31,1.0,8.33,20.52,13.22,13.87,210.83,857.81,21.15,25.49,56.06,44.67,0.74,0.12,0.25,1166.8,763,0.0,147,61,0.0,0,-4,4,9,9,0,-70,4,184,0.1224517906336088,18.91,62.67,4.99672988881622,5572,7260,31.14,0.1176108374384237,-27.45839636913767,2116,326,-177,89.65337423312883,253.8048343777976,0.9516670396061758,-5041,10.51,-585.7,1.53,-1684,7113,17780.0,0.1213295357119304,0.0104804128470619,0.015548127019719,0.6282994374729555,6,1.84,0.0,8.6
2012-04-01,9.713139446124035,0.0149656837488512,1173,10,18,50,547,94,29,29,-425,482,11,556,427,-597,1148,260,874,278,695,2337,2409,2409,639,2,684,0,1537,-414,103,-4675,89.73,-132.0,-464.9,110.7,14.9,824.4,-1.0,-1005.4,-6.3,5701.1,-72.4,253.6,-18.8,41.4,-166.1,293.6,252.3,-256.7,-7.6,-1403.1,0.0,12.5,5.3,-950.9,16.72,45.6,16.3,0.37,8.46,28.47,14.91,14.05,303.46,1215.59,22.45,25.58,59.24,43.96,0.74,0.12,0.25,2291.9,313,0.68,135,63,0.68,436,-3,3,11,11,0,-74,-2,304,0.1388561706582908,18.87,66.17,11.07323943661972,5631,7641,33.14,0.0606607440310937,-16.43579264357927,2371,326,-177,90.99386503067484,278.3731125182659,0.9931807111544082,-5143,10.66,-175.5,1.51,-1656,7330,13262.5,0.1205356294928444,0.0105003297500494,0.0156553452483017,0.6668703089544423,5,1.82,0.5714285714285714,7.96
2012-07-01,9.009941228360027,-0.0695398957624537,1342,10,22,106,554,95,28,28,-425,479,12,556,427,-678,1464,260,864,186,696,2474,2328,2328,633,2,677,0,1537,-414,112,-5286,111.92,-68.1,-128.5,420.0,15.1,1033.7,-6.3,-1644.5,-6.4,5701.1,939.4,445.4,-126.3,42.7,-163.4,398.8,443.8,-372.0,-7.6,-2098.8,0.0,12.5,0.1,-950.9,16.38,41.82,17.97,1.0,8.67,32.76,13.84,14.01,295.29,1708.19,20.37,24.1,57.12,42.0,0.72,0.0,0.27,3884.9,-773,0.0,179,52,0.0,0,-3,3,11,11,0,-58,-2,310,0.1291163556531284,17.44,63.64,-9.946084724005134,6643,7288,32.9,0.0158907164761639,-56.71595330739299,2249,326,-177,91.3435582822086,302.0506634499397,0.983357452966715,-6164,9.31,569.0,1.55,-1548,7904,11750.0,0.1184953010617952,0.0101561366484205,0.0154019158477873,0.5789640927867811,0,1.72,0.0,8.17
2012-10-01,9.564974039479043,0.0193855129466891,1559,10,22,113,536,88,28,28,-425,487,11,556,427,-610,1343,260,843,232,753,2447,2437,2437,641,2,681,0,1537,-414,112,-5345,85.79,-9.5,-418.4,-120.8,15.1,1033.7,0.0,-56.2,0.0,6640.5,-961.6,141.2,71.0,38.7,-209.2,-712.5,140.7,-86.5,0.0,-220.8,0.0,0.0,0.1,-560.1,16.47,46.75,17.31,0.26,6.71,26.8,14.49,14.13,230.63,-108.81,21.14,24.97,56.87,40.09,0.73,0.0,0.25,-195.4,641,0.81,140,59,0.0,516,-5,5,9,45,37,-67,-43,280,0.1368022952529995,18.17,63.1,7.264516129032258,5681,7668,32.77,0.0104098036631967,-18.32695984703633,2366,326,-177,91.58588957055215,264.0559130241846,0.9749278899489684,-5194,10.61,-1087.5,1.51,-1638,8060,2558.536585365854,0.1161750972762646,0.0101556420233463,0.0153268482490272,0.6382553687364741,0,1.77,0.6736292428198434,9.21
2013-01-01,8.611407383490139,0.0716546455599587,2025,10,22,155,528,83,46,46,-425,488,10,556,427,-689,1405,260,726,37,654,1985,2504,2504,650,0,682,0,1537,-414,116,-5768,88.65,-30.4,-406.1,-449.6,15.1,1033.7,0.0,-552.9,0.0,6640.5,-1004.4,76.7,36.6,70.0,-295.6,-523.7,300.0,-176.8,0.0,-829.8,0.0,0.0,0.1,-560.1,15.56,46.07,17.05,1.0,5.73,-0.49,16.74,15.0,258.38,634.22,21.46,26.37,56.31,42.66,0.79,0.0,0.28,348.6,1687,0.0,157,59,0.0,0,-4,4,10,-27,37,-85,47,-6,0.1254504203923662,20.84,61.85,3.258775510204082,5636,7493,31.6,0.0320936639118456,-18.45112041369121,2230,326,-177,92.30061349693251,200.0,0.7964049889948642,-5149,16.82,-1749.0,1.63,-1693,9158,3883.333333333333,0.1170817120622568,0.0119377431906614,0.0164007782101167,0.623533327785637,0,1.76,0.0,10.13
2013-04-01,9.553581166846326,-0.0164270553473193,2154,17,28,147,505,80,56,56,-425,485,17,556,427,-852,1288,260,929,77,606,2017,2498,2498,646,2,677,0,1537,-414,123,-6311,80.05,25.0,-353.7,-169.4,15.1,1033.7,0.0,-989.4,0.0,6640.5,-702.4,135.5,71.9,69.2,-356.3,-564.0,408.0,-267.4,0.0,-1447.5,0.0,0.0,0.1,-1121.7,17.16,44.95,16.65,0.25,5.7,23.77,15.93,15.26,304.56,1502.21,21.98,26.95,61.54,43.84,0.8,0.0,0.27,1760.3,1260,0.81,142,59,0.0,527,-4,4,7,7,37,-64,1,273,0.1418007265179035,21.61,67.63,5.116338207247298,5941,7708,33.87,0.0087684858002878,-21.79247950240317,2438,326,-177,92.50613496932516,210.3098591549296,0.8347417840375587,-5455,12.14,-1245.0,1.58,-1699,9404,28550.0,0.1173424124513619,0.012408560311284,0.016715953307393,0.6381322957198443,0,1.77,0.602974828375286,11.1
2013-07-01,10.47449898568878,0.1625490910771819,2394,18,24,175,517,72,44,44,-425,468,18,675,455,-213,1363,260,875,-178,463,2205,307,2388,636,3,666,26,1796,-414,135,-7326,97.74,-5.1,-309.7,88.2,14.0,963.0,0.1,-2028.5,0.0,6640.5,-1008.6,253.8,-21.2,84.6,-786.6,-379.9,525.8,-369.6,0.0,-2544.4,0.0,0.0,0.1,-1121.7,16.05,41.96,17.8,1.0,5.69,24.62,13.62,15.19,435.97,1275.51,20.56,25.88,65.36,49.18,0.82,0.47,0.22,2933.5,1137,0.0,154,44,0.0,0,-2,2,7,7,37,-56,-23,238,0.1307641196013289,21.2,72.08,22.34615384615385,5634,7525,33.16,0.0325192096597146,-24.29770745883113,2350,326,-177,93.23312883435582,240.0604838709677,1.012701612903226,-5141,10.26,-888.5,1.45,-1608,10070,19680.0,0.1182645914396887,0.0127704280155642,0.0168871595330739,0.6353427895981087,26,1.7,0.0,9.59
2013-10-01,9.660330089363654,0.0099692952109469,2653,44,25,179,526,72,44,44,-425,488,22,675,455,-886,1529,140,874,-12,817,2169,2488,2488,634,3,663,26,1796,-414,142,-7915,58.17,-3.0,-273.1,-221.0,14.0,963.0,0.3,-541.3,0.3,5631.9,-1104.7,188.7,-205.5,32.7,-136.6,-298.9,206.7,-59.0,0.0,-721.5,0.0,0.0,0.1,-630.2,16.56,47.36,17.82,0.21,5.92,25.1,14.73,15.25,293.35,181.23,20.54,26.58,64.12,46.99,0.82,0.48,0.21,122.3,2309,0.93,145,44,0.0,591,-4,4,7,7,37,-60,-11,272,0.1375641025641026,21.87,70.7,2.773559322033898,4530,7800,33.28,0.0172143974960876,-28.56096667887221,2449,326,-177,93.63803680981594,235.1461038961039,1.060267857142857,-4015,11.03,-900.7,1.44,-1708,10201,36366.66666666667,0.1187782101167315,0.012976653696498,0.0170505836575875,0.6908156939155079,26,1.74,0.7278325123152709,10.36
2014-01-01,9.688206554604363,0.1250433434584308,2966,62,20,146,529,66,43,43,-425,514,31,675,455,-867,1632,114,792,-75,902,2203,2551,2551,633,3,662,26,1796,-414,148,-8491,75.46,-74.0,-275.6,-822.8,14.0,963.0,0.6,-1167.9,0.6,5631.9,-1951.6,418.0,-355.1,83.0,-608.1,-147.3,436.0,-135.1,0.0,-1460.8,0.0,0.0,0.1,-630.2,15.43,48.23,17.24,1.0,4.99,23.98,13.32,14.41,218.79,292.38,21.22,25.34,49.6,33.31,0.76,0.46,0.2,338.5,3559,0.0,149,44,0.0,0,-4,4,8,8,37,-51,-5,228,0.1256772829390776,19.17,54.16,1.563476934807472,3683,7567,31.28,0.009875884158548,-27.45645863570392,2230,326,-177,93.86503067484662,210.2617602427921,1.085546282245827,-3142,10.13,-1618.1,1.46,-1767,10871,23775.0,0.114432404158959,0.0108887159533073,0.0156355425145117,0.7115854805341358,26,1.76,0.0,11.36
2014-04-01,9.02860376297105,-0.0549508498129579,3109,55,20,158,517,66,70,70,-425,542,28,675,455,-706,1513,58,986,280,915,2134,2622,2622,631,3,660,27,1796,-414,152,-8850,82.7,-50.1,-498.4,-544.9,14.0,963.0,0.7,-1414.1,0.7,5631.9,-1583.0,635.0,-294.0,87.7,-671.1,-238.1,653.0,-220.4,0.0,-1901.9,0.0,0.0,0.0,-1254.9,17.33,47.63,17.43,0.28,4.91,25.01,15.2,14.24,274.77,1363.26,21.0,24.9,48.78,33.15,0.75,0.43,0.21,1616.5,3590,0.93,162,44,0.0,588,-4,4,8,8,37,-64,-6,294,0.1429611650485437,18.75,53.28,1.72659793814433,4052,8240,32.79,0.0690192008303061,-16.53290529695024,2536,326,-177,95.49693251533742,203.4445832589684,1.046930763740186,-3483,11.4,-1467.0,1.46,-1835,11065,39300.0,0.1114565797027492,0.0104156535051349,0.0150575365184665,0.7400089806915132,27,1.75,0.6666666666666666,10.7
2014-07-01,8.908469244491034,-0.1495087968729959,3347,28,24,199,545,69,67,67,-531,553,28,608,482,-16,1317,56,922,50,562,2154,320,2546,628,3,657,26,2164,-325,158,-9423,100.03,72.5,-704.5,-138.6,17.6,963.0,0.5,-2000.9,0.5,5631.9,-710.6,758.2,-343.4,89.9,-734.5,10.4,776.3,-321.9,0.0,-2559.4,0.0,0.0,0.0,-1254.9,15.99,45.86,18.25,1.0,5.64,30.14,13.99,14.32,202.7,1649.21,20.06,24.7,50.22,32.97,0.74,0.43,0.21,3164.2,2811,0.0,164,187,0.0,0,-5,5,8,8,37,-59,6,328,0.1306398935526793,18.25,55.02,2.16919959473151,4924,8267,31.74,0.0986046511627907,-11.73456352022711,2469,398,-223,93.18546721336745,212.8053035589672,1.05129099790649,-4344,9.77,-994.8,1.46,-1753,11758,35966.66666666667,0.1092813420935128,0.0101031192192383,0.0147664476621802,0.6944724462365591,27,1.72,0.0,10.21
2014-10-01,9.202658944739104,-0.047376346397155,3634,32,27,208,525,94,60,60,-527,535,32,608,482,1,1447,67,944,-97,559,2151,742,742,627,2,654,27,2164,-515,164,-9984,50.57,-95.2,-225.5,421.7,17.6,963.0,0.1,-474.1,0.1,4921.3,-449.0,17.7,-243.7,-13.3,-37.4,-53.3,17.7,-51.9,0.0,-670.2,0.0,0.0,0.0,-639.5,17.15,48.23,17.01,0.23,6.5,25.15,15.1,14.43,422.52,872.9,21.52,25.81,52.82,34.47,0.74,0.45,0.2,821.0,1245,1.02,167,51,0.0,639,-3,3,10,10,37,-61,-3,300,0.1422749610451876,19.07,58.05,2.474395047833427,4475,8343,32.16,0.0696153846153846,-36.99778270509978,2539,389,-210,90.70638761647751,221.6566320014596,1.104341481211237,-3913,11.3,-84.3,1.42,-2,11928,16971.42857142857,0.1062852459016393,0.0099049180327868,0.0144163934426229,0.7207152729785764,27,1.79,0.7163677130044843,10.61
2015-01-01,9.202780025410286,-0.0501048905654655,4056,47,216,178,513,95,50,50,-523,559,24,608,482,58,1518,33,915,-218,578,1691,728,728,626,3,653,27,2164,-668,169,-10462,80.91,-39.1,-211.0,-192.8,17.6,963.0,0.3,-961.6,0.3,4921.3,-859.9,153.6,-389.5,9.5,-117.5,152.4,153.6,-133.4,0.0,-1270.8,0.0,0.0,0.0,-639.5,15.66,46.98,16.65,1.0,6.27,26.05,13.41,14.44,261.47,301.29,21.99,26.75,49.27,32.2,0.73,0.42,0.21,1040.8,2175,0.0,152,41,0.0,0,-4,4,9,9,37,-52,-22,262,0.1287191124558749,19.66,53.99,1.558074642483432,4064,7932,29.9,0.0482357605391832,-37.59241706161137,2241,381,-219,88.31362881255501,183.6254381572358,0.99883158070439,-3478,9.92,-929.5,1.47,-2,12615,20420.0,0.1036318344170712,0.0096350856305522,0.0141503159630002,0.7205668604651163,27,1.85,0.0,11.02
2015-04-01,9.857890238941094,0.0918510212366601,4206,47,258,191,506,93,44,44,-520,555,24,608,482,26,1493,56,1114,-138,477,1683,754,754,624,2,651,27,2164,-758,173,-10898,112.76,14.9,-313.5,181.7,17.6,963.0,0.5,-1292.6,0.5,4921.3,-895.1,287.3,-281.7,-25.0,-428.9,50.8,287.3,-247.0,0.0,-1789.0,10.6,0.0,0.0,-1276.8,17.39,48.49,17.28,0.13,5.94,24.9,14.57,14.28,297.25,1413.36,21.18,25.75,47.83,29.33,0.73,0.42,0.18,2340.6,2150,1.02,153,46,0.0,689,-4,4,6,6,37,-57,-4,282,0.144773413897281,18.92,52.4,1.563066202090592,4029,8275,32.49,0.004247572815534,-26.39553429027113,2525,420,-239,82.73993614530406,192.8269328370834,1.055489764845204,-3446,10.94,-532.6,1.4,-2,12741,56700.0,0.099729966114113,0.0091742742009341,0.0134523399578716,0.7475158084914183,27,1.8,0.8105882352941176,11.74
2015-07-01,11.67679583015689,0.3107522190052772,4517,16,258,91,524,81,45,45,-524,514,16,608,482,-33,611,81,1031,-379,500,1838,311,2451,627,2,650,26,2164,-854,178,-11472,144.99,113.5,-427.1,586.5,14.8,1433.5,0.7,-1898.8,0.7,4921.3,-560.5,442.5,-400.5,-27.4,-775.4,211.6,442.5,-395.0,0.0,-2453.0,10.6,0.0,0.0,-1276.8,16.07,48.04,19.09,1.0,5.78,27.12,13.71,14.21,285.39,1504.59,19.17,24.41,47.19,29.08,0.74,0.41,0.12,3697.1,3683,0.0,174,41,0.0,0,-4,4,8,8,37,-50,-16,293,0.1306634787806336,18.12,51.47,1.386202648598706,4363,8365,31.75,0.0118543607112615,-19.58557714820885,2504,465,-236,79.95782667321241,196.7557874144115,1.223182262797522,-3822,9.99,189.1,1.26,-1649,13470,27350.0,0.0959909698690356,0.0089373660591629,0.0129705009616265,0.7817757009345795,27,1.72,0.0,11.29
2015-10-01,10.83159920714751,0.1770075662034203,4857,37,45,120,533,88,44,44,-520,505,19,608,482,-1,1521,51,999,-489,516,1876,2488,2488,626,3,649,26,2164,-968,183,-12048,93.83,-64.5,-380.0,418.5,14.8,1433.5,0.2,-475.5,0.2,4360.8,-1287.6,50.3,-224.9,0.0,-611.7,-63.8,50.3,-94.8,0.0,-657.8,0.0,0.0,0.0,-720.7,17.51,51.07,17.52,0.16,4.72,29.28,15.33,14.27,301.4,643.26,20.89,24.97,48.93,29.26,0.73,0.43,0.12,548.5,4794,1.1,154,40,0.0,687,-4,4,7,7,37,-50,4,360,0.1443420741790692,18.25,53.43,1.501573108130485,3076,8466,31.98,0.0147428982380439,-22.27894736842105,2563,523,-257,74.69790639913612,204.9313675648195,1.249322033898305,-2543,10.84,-437.8,1.25,-1684,13582,40700.0,0.0922849162011173,0.0084972067039106,0.012486033519553,0.796950014120305,28,1.75,0.7905638665132336,13.01
2016-01-01,9.329173921428971,0.0137343167683781,5330,56,44,122,730,83,61,61,-516,562,56,608,482,-11,1635,82,878,-642,528,1934,2550,2550,624,3,647,27,2164,-993,189,-12791,147.48,-75.3,-328.6,-641.9,14.8,1433.5,0.4,-1183.6,0.4,4360.8,-1326.1,-248.8,-383.3,-12.3,-127.8,309.7,304.8,-242.8,0.0,-1486.8,618.3,0.0,0.0,-720.7,15.87,48.53,17.64,1.0,5.07,13.73,20.42,16.02,239.5,364.2,20.74,28.83,52.78,35.94,0.77,0.39,0.17,764.6,5765,0.0,143,63,0.0,0,-5,5,7,7,37,-73,-21,223,0.1295700845540074,22.24,57.44,1.158942065491184,3037,8397,29.83,0.0586232980332828,-25.55386488131467,2370,532,-268,69.662843347807,166.412213740458,1.096447445684087,-2447,17.62,-1304.1,1.41,-1693,14916,82100.0,0.0919956791201117,0.0100227682728119,0.0139101198789571,0.7863095795486469,29,1.8,0.0,12.02
2016-04-01,9.834419495007758,-0.0023809094405028,5537,102,51,153,772,77,132,132,-510,579,51,608,482,25,1635,45,1110,-282,549,2004,2669,2669,623,3,645,27,2164,-906,192,-13218,92.33,-61.3,-595.3,-254.4,14.8,1433.5,0.6,-1439.1,0.6,4360.8,-862.9,-14.9,-449.3,-14.0,-211.4,339.1,538.7,-336.5,0.0,-1965.1,618.3,0.0,0.0,-1438.1,17.63,50.0,17.96,0.24,4.54,26.55,15.34,16.19,351.91,1593.99,20.38,28.64,53.31,36.94,0.77,0.37,0.18,2264.9,5731,1.1,151,43,0.0,685,-4,4,8,8,37,-53,-16,343,0.1456126658490356,21.96,57.99,1.19502601192742,3501,8969,31.89,0.0838670694864047,-15.06635309927768,2690,505,-291,67.72085843503001,169.2717833590571,1.068472007857443,-2893,11.27,-1102.5,1.42,-1785,15091,32650.0,0.0922379248137802,0.0101408286778398,0.0141435637802607,0.7747926744989634,29,1.77,0.7210526315789474,13.79
2016-07-01,9.450200414585222,-0.1906854798146924,2925,68,51,111,755,97,199,199,-810,634,68,903,517,68,845,28,1004,-657,479,1910,355,2687,621,3,643,24,2817,-920,34,-2592,158.71,72.6,-370.1,386.0,16.3,1425.5,-1.1,-2013.6,-1.1,4360.8,544.8,-144.4,-655.9,-102.3,-113.8,393.4,704.5,-496.6,0.0,-2605.0,814.5,0.0,0.0,-1372.2,16.36,46.8,19.69,1.0,5.43,22.49,17.19,17.04,302.43,2065.96,18.59,28.88,55.39,40.03,0.78,0.33,0.15,4170.8,4690,0.0,163,50,0.0,0,-4,4,9,9,37,-62,-37,328,0.1333928173098372,22.41,60.08,1.14893108802102,4908,8966,31.28,0.0718469814704123,-24.22588489597406,2656,510,-286,67.3120032800648,172.7862342819325,1.142686962276638,-4247,13.32,-332.8,1.35,-1730,7880,29800.0,0.0922209613594041,0.01086323033054,0.0149679061918063,0.7486639946559787,27,1.69,0.0,12.74
