Unnamed: 0,Date_quarter,EBITDA2,EBITDA2마진율,EBITDA2증가율,EPS,EPS증가율,당기순이익,순이익률,순이익증가율,매출액,매출원가,매출총이익,매출총이익률,매출액증가율,영업이익,영업이익률,영업이익증가율,CAPEX,운전자본증감,순부채,이자발생부채,BPS,BPS증가율,Free Cash Flow2,ROA,ROE,ROIC,매입채무회전율,매출채권회전율,부채비율,부채총계,비유동비율,비유동자산,유동비율,유동자산,이익잉여금,이자보상율,자기자본비율,자본,자산총계,재고자산회전율,총자산회전율,현금배당성향,y,Close,Close_dow
0,2001-08-01,-474.0,-0.1623287671232876,-1.6228646517739818,-0.9,0.9565217391304348,-370.0,-0.1267123287671233,0.93717277486911,2920.0,1833.0,1088.0,0.3726027397260274,0.5354734106721895,-782.0,-0.2678082191780822,-7.741379310344827,-534.9,953.4,-1280,191,0.0246774822695035,-6.019948290993695,1745.7,0.0,0.0,0.0,1.5390428211586902,-30.072090628218326,2049.290780141844,5779,5.25177304964539,1481,109.59559703278296,4580,-1435,-989.873417721519,4.652697574657648,282,6061,-1660.0,0.0,-0.0,-0.1148055045864859,14.95,10259.01
1,2001-11-01,483.0,0.1445674947620473,-2.018987341772152,0.2,-1.2222222222222223,82.0,0.0245435498353786,-1.2216216216216216,3341.0,2159.0,1182.0,0.3537862915294822,0.1060108955927807,414.0,0.1239149955103262,-1.5294117647058822,-42.1,-538.1,-380,221,0.0299195467422096,0.2124229860833193,-239.4,0.0,0.0,0.0,2.9175675675675685,-14.271678769756514,1436.2606232294618,5070,3.821529745042493,1349,121.2139244272538,4074,-1354,492.8571428571429,6.5093121888253735,353,5423,-733.0,0.0,0.0,-0.0801961846337139,20.23,9731.405
2,2002-02-01,461.0,0.1385216346153846,-0.0455486542443064,0.03,-0.85,11.0,0.0033052884615384,-0.8658536585365854,3328.0,2123.0,1205.0,0.3620793269230769,0.0587388223093914,388.0,0.1165865384615384,-0.0628019323671497,-90.8,-427.8,-399,162,0.0374946564885496,0.253182637143806,165.1,0.0,0.0,0.0,4.94871794871795,-102.71604938271604,1884.351145038168,4937,5.114503816793894,1340,128.33388759561024,3859,-1343,170.17543859649123,5.0394306597422585,262,5199,-531.0,0.0,0.0,-0.0794113529555942,26.705,10070.63
3,2002-05-01,509.0,0.1518949567293345,0.1041214750542298,0.28,8.333333333333334,114.0,0.0340196956132497,9.363636363636363,3351.0,2123.0,1228.0,0.366457773798866,0.0465757947887148,435.0,0.1298119964189794,0.1211340206185567,-155.4,-467.5,-439,98,0.0127754545454545,-0.6592726606428314,391.1,-8.65,0.0,-56.36,5.737837837837838,-69.66735966735966,997.979797979798,4940,2.7474747474747474,1360,134.3111404087014,4075,-1229,6214.285714285716,9.107635694572217,495,5435,-724.0,2.25,0.0,-0.0891715093648943,20.925,10032.745
4,2002-08-01,328.0,0.106320907617504,-0.3555992141453831,0.08,-0.7142857142857143,38.0,0.0123176661264181,-0.6666666666666667,3085.0,2023.0,1062.0,0.3442463533225283,-0.0932144325752671,148.0,0.0479740680713128,-0.6597701149425288,-262.8,-35.6,-731,61,0.0239841685649202,0.8773632264578606,827.5,9.99,67.95,31.23,4.495555555555557,17.946480511925536,1148.0637813211845,5040,3.2505694760820045,1427,121.79140366696724,4052,-1190,986.6666666666669,8.012411023909474,439,5479,-967.0,2.01,0.0,-0.0563472893191545,16.145,8530.93
5,2002-11-01,490.0,0.1472798316801923,0.4939024390243902,0.27,2.375,127.0,0.0381725278028253,2.3421052631578947,3327.0,2172.0,1156.0,0.3474601743312293,0.0972491249270579,429.0,0.1289449954914337,1.898648648648649,-18.9,-131.7,-738,59,0.0133416123499142,-0.4437325474176349,179.4,11.65,62.03,28.0,5.730870712401057,-18.64910313901345,868.7821612349915,5065,2.3550600343053167,1373,133.63551109721791,4275,-1062,743.1818181818181,10.322237960339944,583,5648,-948.0,2.08,0.0,-0.0487231645629239,17.505000000000003,8461.785
6,2003-02-01,416.0,0.1304484164314832,-0.1510204081632653,0.25,-0.0740740740740741,119.0,0.0373157729695829,-0.0629921259842519,3189.0,2180.0,1009.0,0.3164001254311696,0.0210949494949495,368.0,0.1153966760740044,-0.1421911421911421,-79.0,-28.0,-940,56,0.0119414093959731,-0.1049500553019818,532.9,15.75,92.83,37.96,6.005509641873277,-14.294038547736443,881.7114093959731,5255,2.261744966442953,1348,136.45454545454544,4503,-943,743.1818181818181,10.186292941377545,596,5851,-1314.0,2.07,0.0,-0.0391042684204649,15.75,8041.15
7,2003-05-01,460.0,0.1345816266822703,0.1057692307692308,0.28,0.1200000000000001,132.0,0.0386190754827384,0.1092436974789916,3418.0,2313.0,1106.0,0.323581041544763,0.0430558219725296,404.0,0.1181977764774722,0.0978260869565217,-133.8,36.5,-1082,64,0.0125537964236588,0.0512826423899519,945.1,14.8,68.07,32.45,5.329493087557604,-28.892645815722737,775.7909215955983,5640,1.9174690508940853,1394,142.32970807097882,4973,-811,743.1818181818181,11.41825035338464,727,6367,-1555.0,1.95,0.0,-0.0555073388068121,16.7,8601.38
8,2003-08-01,403.0,0.1164067013287117,-0.1239130434782608,0.26,-0.0714285714285715,121.0,0.034950895436164,-0.0833333333333333,3462.0,2423.0,1039.0,0.3001155401502022,0.0698204402929385,350.0,0.1010976314269208,-0.1336633663366336,-211.6,180.0,-1348,58,0.0137380264741275,0.0943324242726215,1332.8,17.54,78.45,37.0,4.228621291448516,-1081.875,677.2563176895308,5628,1.7091346153846154,1422,152.26723095525998,5037,-642,743.1818181818181,12.865768694844403,832,6459,-1575.0,1.98,0.0,-0.0695573270460939,20.575000000000003,9310.31
9,2003-11-01,483.0,0.1351426972579742,0.1985111662531018,0.34,0.3076923076923077,174.0,0.0486849468382764,0.4380165289256199,3574.0,2464.0,1111.0,0.3108561835478455,-0.0005218410709461,507.0,0.1418578623391158,0.4485714285714286,-46.7,-195.4,-1435,48,0.0120393028846153,-0.1236512094885947,80.9,18.02,67.27,35.19,4.957746478873238,-16.062921348314607,544.5192307692306,5663,1.3951923076923076,1451,152.18777166038828,5252,-468,743.1818181818181,15.51544084738177,1040,6703,-1678.0,1.97,0.0,-0.0775199578148188,24.4,9796.42
