Date_x,"BPS(지배, Adj.)(원/주)",BPS증가율(YoY)(비율),CAPEX(천원),EBIT(천원),EBITDA2(천원),EBITDA2마진율(비율),EBITDA2증가율(YoY)(비율),"EPS(지배, Adj.)(원/주)",EPS증가율(YoY)(비율),Free Cash Flow2(천원),Gross Investment (GI),Opex Margin,ROA(비율),ROE(지배)(비율),ROGI(%),SG&A,단기투자자산,당기순이익(천원),매입채무회전율,매출액(천원),매출액이익률(비율),매출액증가율(YoY)(연도),매출원가(천원),매출채권회전율,매출총이익(천원),무형자산,무형자산감상비 누계,무형자산회전율s,부채비율(비율),부채총계(천원),비유동비율(천원),비유동자산(천원),순부채(천원),순이익률(비율),순이익증가율(YoY)(비율),영업이익(천원),영업이익률(비율),영업이익증가율(YoY)(연도),운전자본증감(천원),유동비율(비율),유동자산(천원),유형자산감상비 누계,이익잉여금(천원),이자보상율,인당매출s,인당순이익s,인당영업이익s,자기자본비율,자산총계(천원),재고자산회전율(비율),채무총계,총자산회전율(비율),투자비 대비 매출 (Rev/GI)s,현금배당성향(%),close,close_weighted,EV_EBITDA,PBR
2003-08-01,14.20291791475782,-0.4188092155324604,76.28,345,403.06,13.36,0.22854181906852,0.25,2.125,1332.8,-44,0.09965337954939342,17.54,78.45,5.653136531365313,694,2332,121,4.228621291448516,3462,34.44,0.1222042139384116,2423,-1081.875,1039,326,-177,41.0920245398773,677.2563176895308,5628,1.709134615384615,1422,-1348,8.33,2.184210526315789,350,11.45,1.364864864864865,180.0,1.52,5037,-1220,-642,4375.0,0.1656732530120482,0.006175261044176707,0.01923807228915663,12.8657686948444,6459,0.6873138773079214,60,1.98,-49.33851372208149,0.0,25.11196763226329,25.7,4.37,24.02
2003-11-01,11.97410502209439,-0.1180070840968893,44.5,421,483.45,14.82,-0.01613822296389766,0.33,0.2222222222222221,80.9,157,0.1177951874650252,18.02,67.27,4.204137931034483,690,2330,174,4.957746478873239,3574,34.05,0.07424105801021952,2464,-16.06292134831461,1111,326,-177,41.84969325153374,544.5192307692307,5663,1.395192307692308,1451,-1435,10.26,0.3700787401574803,507,12.9,0.1818181818181819,-195.4,1.52,5252,-1220,-468,12675.0,0.1643734939759036,0.006578313253012049,0.01962650602409639,15.51544084738177,6703,0.6805026656511804,50,1.97,-32.43157687808758,0.0,23.99435303078644,22.45,6.31,22.48
2004-02-01,11.20423008476208,-0.07619582063108765,53.63,415,494.98,14.99,0.1898271676161631,0.22,-0.12,892.3,-366,0.1127104834329169,16.2,62.47,3170.0,675,2980,123,5.044747081712062,3682,33.0,0.1545939165882722,2593,-28.17138485080337,1090,326,-177,43.36196319018404,545.4077253218884,6354,1.404291845493562,1636,-1988,6.66,0.03361344537815136,307,12.56,-0.1657608695652174,359.6,1.45,5883,-1220,-344,2558.333333333333,0.1627718072289157,0.006374578313253013,0.01826277108433735,15.49408165979519,7519,0.625871154173041,52,1.89,-51.1810594647078,0.0,23.99435303078644,25.405,5.33,18.63
2004-05-01,7.771762728689115,-0.3673537073857023,77.15,575,630.23,17.09,0.3701247880342624,0.37,0.3214285714285714,1182.7,-531,0.1419753086419753,15.62,48.72,-11.70666666666667,732,3840,210,5.175471698113207,4050,35.45,0.1849034523112931,2743,-11.34453781512605,1307,326,-177,45.30061349693251,368.2505399568034,6820,0.949244060475162,1758,-2452,10.01,0.5909090909090908,573,15.6,0.4183168316831682,257.8,1.62,6914,-1220,-134,5209.090909090909,0.1620910843373494,0.006884216867469879,0.01912530120481928,21.35608856088561,8672,0.5857680069424357,60,1.76,-73.60471490531239,0.0,25.79445264073878,24.92,5.03,12.92
2004-08-01,10.49142826787632,-0.2613188127367124,95.69,377,435.94,12.74,0.08157594402818447,0.3,0.2,1474.0,99,0.0990281061203047,16.9,59.98,65.01818181818182,732,2838,183,5.146946564885496,3807,32.4,0.09965337954939346,2697,-9.390725209669462,1109,326,-177,46.35889570552147,444.7314751869476,6542,1.273097826086957,1874,-1828,8.75,0.5123966942148761,371,11.01,0.06000000000000005,195.8,1.4,6139,-1220,47,3091.666666666667,0.1584502409638554,0.007256385542168674,0.01861843373493976,18.35766878821914,8013,0.6201335722430363,69,1.89,43.53164873105125,0.0,26.20185226153832,24.215,6.23,16.63
2004-11-01,8.753828525123183,-0.2689367172769248,53.94,465,518.09,13.89,0.07165167028648267,0.32,-0.03030303030303028,-115.8,382,0.1142225497420781,15.47,51.01,6.797773654916512,750,2865,196,3.896316507503411,4071,32.57,0.1390598768886402,2856,-8.437305699481865,1215,326,-177,47.88343558282209,408.0957810718358,7158,1.139031339031339,1999,-1715,8.57,0.1264367816091954,458,12.47,-0.096646942800789,-448.6,1.45,6913,-1276,243,1635.714285714286,0.1561,0.00712,0.01709,19.68132854578097,8912,0.5888904961666426,40,1.81,31.42438558368739,0.0,26.0240936153662,24.29,6.32,13.93
2005-02-01,7.245882378445293,-0.3532904694361997,59.95,436,505.15,13.25,0.0205462846983715,0.35,0.5909090909090908,609.8,41,0.1036527514231499,15.76,52.39,-11.40307692307692,738,3467,210,4.138775510204082,4216,30.8,0.1450298750678978,3042,-7.950216858382048,1175,326,-177,49.52147239263803,395.1245363010069,7456,1.058293587705352,1997,-2184,8.93,0.7073170731707317,472,11.44,0.5374592833876222,-34.6,1.48,7346,-1362,448,2145.454545454545,0.1535564227642277,0.007597317073170731,0.01785739837398374,20.19693888472653,9343,0.5739177783827933,82,1.74,144.3137631659878,0.0,23.09625008129437,25.875,5.69,12.68
2005-05-01,8.008344291416675,0.03044117158315052,69.36,606,776.02,19.03,0.2313282452437999,0.51,0.3783783783783785,1133.4,172,0.1347265451311694,16.29,49.36,-10.4958217270195,804,3195,305,3.845579078455791,4498,34.56,0.1106172839506172,3088,-5.788931788931789,1410,326,-177,50.89570552147239,412.70468661773,7309,1.136645962732919,2013,-2040,11.92,0.4523809523809523,672,14.85,0.1727748691099475,-81.7,1.41,7067,-1347,744,2488.888888888889,0.1496255284552845,0.007976991869918699,0.01759081300813008,19.50440528634361,9080,0.6364794113485213,72,1.7,178.0920446007533,0.0,24.16146122674434,22.57,2.52,11.96
2005-08-01,10.24611171625122,-0.0233825695950507,128.21,515,664.97,16.94,0.5253704638252972,0.38,0.2666666666666668,1569.3,271,0.119517289394291,17.78,59.36,10.92972972972973,778,2947,229,3.73729863692689,4309,32.95,0.1318623588127135,3016,-6.595744680851064,1293,326,-177,52.43558282208589,427.8137890394814,7260,1.338833235120801,2272,-1891,9.24,0.2513661202185793,509,13.12,0.371967654986523,50.2,1.36,6685,-1269,962,1817.857142857143,0.1465880487804878,0.008008780487804878,0.0180190243902439,18.94607569498716,8957,0.6445774121166792,75,1.83,155.5378681498979,0.0,29.77337599739439,31.56,4.63,12.82
2005-11-01,15.4033306019289,0.7596107300619239,76.56,518,676.48,16.22,0.305719083556911,0.36,0.125,290.4,733,0.1140215716486903,17.81,65.69,3.721973094170404,802,1967,215,4.164082687338501,4543,31.67,0.1159420289855073,3223,-15.69799585348998,1320,326,-177,53.88343558282209,597.2532188841202,6958,1.952789699570815,2275,-1300,7.86,0.09693877551020402,513,12.42,0.1200873362445414,-61.6,1.19,5848,-1304,882,1900.0,0.1428130081300813,0.007796747967479674,0.01760975609756098,14.34199187492306,8123,0.7768467852257182,54,1.88,151.0786172767023,0.8170731707317073,30.62266237414192,25.76,5.46,20.75
2006-02-01,15.45639978574261,1.133128717590223,62.53,130,279.19,6.8,-0.4473126794021578,0.11,-0.6857142857142857,902.2,409,0.02894678245379648,14.66,53.74,7.862222222222222,739,2347,70,4.778364116094987,4491,21.17,0.0652277039848197,3622,25.3872244205766,869,326,-177,54.72699386503068,599.8277347114556,6964,1.702842377260982,1977,-1707,2.54,-0.6666666666666667,137,3.17,-0.7097457627118644,351.2,1.17,6148,-1366,932,622.7272727272727,0.1406151567944251,0.006589430894308943,0.01475092915214866,14.28923076923077,8125,0.7304814573845153,52,1.86,59.22978908181886,0.0,30.62266237414192,28.74,10.8,23.71
