Date_x,이자보상율,"EPS(지배, Adj.)(원/주)",매입채무회전율,재고자산회전율(비율),당기순이익(천원),유동자산(천원),매출총이익(천원),유동비율(비율),인당매출s,Opex Margin,이익잉여금(천원),매출액(천원),부채총계(천원),매출액증가율(YoY)(연도),영업이익증가율(YoY)(연도),매출액이익률(비율),채무총계,EBITDA2증가율(YoY)(비율),순이익률(비율),순이익증가율(YoY)(비율),ROA(비율),유형자산감상비 누계,영업이익(천원),매출채권회전율,운전자본증감(천원),순부채(천원),ROE(지배)(비율),SG&A,인당순이익s,무형자산회전율s,매출원가(천원),부채비율(비율),EBIT(천원),EPS증가율(YoY)(비율),투자비 대비 매출 (Rev/GI)s,자산총계(천원),영업이익률(비율),Gross Investment (GI),비유동자산(천원),단기투자자산,ROGI(%),무형자산,총자산회전율(비율),비유동비율(천원),자본금(천원),"BPS(지배, Adj.)(원/주)",Free Cash Flow2(천원),인당영업이익s,무형자산감상비 누계,EBITDA2(천원),현금배당성향(%),자기자본비율,EBITDA2마진율(비율),CAPEX(천원),BPS증가율(YoY)(비율),close,close_weighted,EV_EBITDA,PBR
2006-12-01,95000.0,0.06,0.147741935483871,0.6690461538461538,249.0,1639,1041.4,2.17,0.06296473134708429,0.7137601177336278,1350,1087.2,840,0.5079056865464633,0.4278557114228458,100.0,13,0.4392124082845732,23.2,0.497294046903187,41.56,-205,285.0,-13.69269521410579,538.6,-155,59.28,731.5,0.01376527883880825,56.51714285714286,45.8,45.65217391304348,285.0,0.5,2.458150397619169,2680,26.22,1840,1041,226,0.6580332409972299,70,1.88,0.566068515497553,22,10.56254629380412,351.6,0.0151180926916221,-8,309.92,0.2165807219357398,68.65671641791045,28.5,49.45,-0.1694503979293157,4.96502278269967,5.25436393593285,24.91,7.11
2007-03-01,3725.925925925926,0.07,0.89375,0.6455995599559956,271.7,1828,887.7,2.22,0.06108032430437189,0.7083581835221948,1559,1173.7,1006,0.1975308641975309,0.4516594516594516,80.33,118,0.4490968443960828,23.41,0.3524141363862616,39.02,-234,301.8,-14.78211586901763,769.9,-157,56.74,554.8,0.01374259651364375,59.28285714285714,286.0,49.0014612761812,301.8,-0.2999999999999999,2.33428680225137,3059,25.71,2092,1231,324,0.5925631564007947,70,1.71,0.5996103263516804,23,11.39251035458606,493.0,0.01533571163843197,-11,332.93,0.3239898070622497,67.11343576332135,28.36,90.29,0.5752004975340488,5.975072490794295,5.02980825265946,23.31,6.59
2007-06-01,4878.787878787879,0.15,0.3734636871508379,0.6252113376429637,293.3,2021,1123.6,1.99,0.06117543198294442,0.6265012328004453,1930,1257.3,1192,0.3709519136408244,0.5480769230769231,90.64,108,0.3853013530135303,23.54,0.5056468172484598,37.46,-274,322.0,-15.83501259445844,242.5,-84,55.1,808.3,0.014069387997901,64.14285714285714,133.7,49.13437757625722,284.7,2.0,2.221823139791808,3618,22.64,2582,1597,239,0.5449902723735408,70,1.61,0.658285243198681,24,11.21850424991573,181.3,0.0157877699806184,-13,315.35,0.2419736397431565,67.05362078496407,25.07,60.73,-0.1224182604033517,6.952813026337513,5.88417082237982,20.76,5.53
2007-09-01,4144.000000000001,0.08,0.3579081632653062,0.5912295786758384,310.2,2336,1235.0,2.42,0.06177759029492558,0.5990401396160558,2213,1375.2,1151,0.4151059888866022,0.2481927710843375,91.12,109,0.2688691419932894,22.59,0.4087193460490464,35.175,-310,310.8,-17.31989924433249,385.8,-116,51.425,890.9,0.01418939830293166,69.90571428571428,140.3,42.3629002576371,310.8,0.3333333333333335,2.116525588673342,3868,22.6,2879,1532,272,0.5201495820501539,70,1.54,0.5638571954361428,25,10.37808527567715,261.6,0.01545642594143378,-15,344.13,0.2343850611719253,70.24301964839711,25.02,62.88,-0.1275189516866977,7.20346865267086,7.08559270620308,18.6,4.65
2008-03-01,790.6493506493506,0.08,0.3430084745762712,0.6106169871794871,313.6,2506,1362.2,2.24,0.04444044180278511,0.568860311003215,2520,1524.1,1316,0.2985430689273236,0.008614976805831454,90.55,114,0.1512630282641998,20.78,0.1542142068457859,32.89,-405,304.4,-19.19521410579345,971.3,-114,47.75,978.9,0.009866620393323209,59.38,161.9,42.8246013667426,343.0,0.1428571428571428,1.426322531606039,4389,22.51,3301,1883,306,0.3480437604301873,70,1.47,0.6125569290826285,24,3.321046178528781,654.3,0.01012640201567567,-15,383.29,0.3893274392169245,70.01594896331738,25.15,116.44,-0.7084886407681086,2.60718754001097,4.6694040950926,13.82,3.14
2008-06-01,904.6753246753248,0.08,0.2840148698884759,0.5797145003756574,310.7,2671,1390.4,1.91,0.04360118078259798,0.5994686365992743,2575,1543.2,1601,0.2273920305416368,0.08167701863354049,91.97,110,0.1911843982876169,20.27,0.059324923286737,29.77,-365,348.3,-19.43576826196474,270.0,-154,44.92,1015.1,0.00922837109814539,63.46428571428572,152.8,52.66447368421052,348.3,-0.4666666666666667,1.422227996318417,4641,22.57,3196,1970,340,0.3468674281758394,70,1.38,0.6480263157894737,23,6.965670011909781,167.0,0.009490303063168531,-21,375.64,0.2260230179028133,65.50312432665373,24.32,102.6,-0.379091021696399,5.409676281474998,6.06861775726467,13.95,3.13
2008-09-01,998.7012987012987,0.07,0.3272727272727273,0.6122354751827627,290.9,2607,1447.2,2.23,0.04181514626549498,0.6132478632478633,2415,1591.2,1372,0.1570680628272252,0.237129987129987,93.62,105,0.2116641966698631,18.47,-0.06221792392005165,29.06,-359,384.5,-20.04030226700252,451.0,-166,41.83,1030.7,0.008214923658297952,66.55000000000001,144.0,46.30442119473507,384.5,-0.1249999999999999,1.457191006097728,4335,24.17,3104,1728,344,0.35961892027411,70,1.42,0.5831927100911238,21,7.117678791119359,315.2,0.009310007450160224,-21,416.97,0.2284937096225773,68.35063437139561,26.18,31.09,-0.3141626222901753,5.387717723811225,5.37247839959477,10.0,2.28
2008-12-01,960.7792207792206,0.07,0.3046025104602511,0.5324449182658137,280.4,2824,1352.8,2.245,0.05526403188309532,0.6148968831342188,2520,1498.3,1477,0.08951425247236755,0.1901544401544399,92.59,105,0.1634266120361492,18.88,-0.09606705351386202,27.735,-415,369.9,-18.87027707808564,858.6,-351,39.795,952.6,0.01073182116025025,87.95428571428572,145.6,48.37864395676384,369.9,-0.1249999999999999,1.945873328341694,4530,24.69,3066,1706,529,0.4025191774242479,70,1.4,0.5587946282345234,20,5.608132888984084,666.8,0.01263026560270001,-22,400.37,0.2135030045952634,67.39514348785872,26.71,56.63,-0.4596177676312103,4.374011268666567,5.49641230914876,6.59,1.53
2009-03-01,880.2597402597402,0.07,0.2854066985645933,0.5466515323496027,268.5,2650,1325.5,2.26,0.05163357653598552,0.6260382059800664,2718,1444.8,1350,-0.05203070664654552,0.1133377135348226,92.74,112,-0.02864671658535323,18.86,-0.1438137755102041,26.41,-467,338.9,-18.19647355163728,1179.6,-348,37.76,953.4,0.009784600417957257,86.82142857142857,119.3,43.47826086956522,338.9,-0.1249999999999999,1.939650253290495,4455,23.45,3172,1805,534,0.4454194345743859,70,1.38,0.5813204508856683,19,3.117160179157488,929.3,0.0122553266072417,-22,372.31,0.3618348623853211,69.6969696969697,25.75,52.69,-0.0613921000826354,2.466560233507645,2.582258366692975,7.2,3.26
2009-06-01,964.6753246753245,0.08,0.2549056603773585,0.5037402244134648,315.3,2948,1346.5,2.19,0.04808696255576091,0.6467094161322984,3104,1481.5,1549,-0.0399818558838777,0.06632213608957782,92.58,112,0.07587051432222336,21.52,0.01480527840360479,25.1,-483,371.4,-18.65869017632242,261.8,-485,36.8,942.6,0.009188950662443521,85.94,135.1,43.48680516563729,371.4,0.0,1.879478569356047,5111,25.07,3505,2163,681,0.4371586330398448,70,1.29,0.607243121841662,41,2.713147010361118,225.3,0.01171240662592447,-29,404.14,0.2524302289118846,69.69281940911759,27.26,36.21,-0.6104973382715192,2.466560233507645,2.582258366692975,9.83,4.36
