파일,항목,기간,N,lag=3,lag=2,lag=1,lag=0,lag=-1,lag=-2,lag=-3,lag=-4,lag=-5,lag=-6,lag=-7,lag=-8,lag=-9,lag=-10,lag=-11,lag=-12,lag=-13,highest corr,best lag (highest corr)
철강원자재 가격,철광석(달러_톤),2011/07 ~ 2021/12,126,0.5332322370983125,0.6012449317435367,0.6632286037025407,0.7106805066996489,0.7536840297099309,0.7771198458315608,0.7751392972517529,0.7686577947822352,0.7407934470108546,0.6959429235561763,0.640011182752512,0.5878095208064547,0.5362325127060271,0.4841175980700232,0.41957562455362557,0.34115744894559924,0.2520017126009826,0.7771198458315608,-2
철강원자재 가격,유연탄(달러_톤),2011/07 ~ 2021/12,126,0.6475513055238578,0.6172134641989627,0.5942650357395816,0.560319355581467,0.5053746848798476,0.44284710660853455,0.3719909007912198,0.2975879435063712,0.23642389567602018,0.19277465616892236,0.15467401646176202,0.13361763295182758,0.11446679341310992,0.09484965271551103,0.0663832215441948,0.039073056668949925,0.028363785252232362,0.6475513055238578,3
철강원자재 가격,철스크랩(달러_톤),2011/07 ~ 2021/12,126,0.7030834555076904,0.7276398045451937,0.7478783509300079,0.7565610450220086,0.7367241095960789,0.7063853317145473,0.6685705621867942,0.6202129861599174,0.554713646311676,0.4598682427691186,0.36630974048448967,0.2718251174804684,0.17237094214554327,0.07164265992269467,-0.022524511831168506,-0.12924614169209933,-0.20363107313170703,0.7565610450220086,0
철강원자재 가격,철스크랩(엔_톤),2011/07 ~ 2021/12,126,0.698917738914728,0.7354428275555849,0.7611233029111574,0.7870539198570164,0.778844787645342,0.7461637583048921,0.7047392265708623,0.6573184198102937,0.6012531700414788,0.5126629931616539,0.4191289655259236,0.32561062107518457,0.23460901392175662,0.13837280932448412,0.05069731489754541,-0.06961564533158307,-0.18835773435001354,0.7870539198570164,0
철강원자재 가격,열연(천원_톤),2011/07 ~ 2021/12,126,0.8212789168997597,0.8784546033997327,0.9257963882985268,0.953315322943231,0.9417848717078001,0.903998316463856,0.8637352584738587,0.8140578324172705,0.7566657319686889,0.6913982294898879,0.6277833705395331,0.5528446528470967,0.4706345948818443,0.39443378780901994,0.31548833530251164,0.22868927951933635,0.16469542636917225,0.953315322943231,0
철강원자재 가격,후판(천원_톤),2011/07 ~ 2021/12,126,0.8173066390174405,0.8390400791808269,0.8543634113929311,0.8552834502479645,0.8247946459104755,0.7629289888318089,0.6886178688303157,0.6037390331349792,0.5101092244443239,0.4225100162152776,0.33293664409088114,0.24027858864654,0.16382445057060044,0.1054495125285543,0.04294642929629921,-0.021094953138522478,-0.07252786581921024,0.8552834502479645,0
철강원자재 가격,냉연(천원_톤),2011/07 ~ 2021/12,126,0.7980202485053529,0.8339569263573566,0.859886903552561,0.8536476423211403,0.8158983425054441,0.7664269825073615,0.6997859635908303,0.6180423587167005,0.5205127338960381,0.4184517385658871,0.30977431996346844,0.20883292122572528,0.11363038913925497,0.01988111940859968,-0.06828724996493284,-0.13883373786189174,-0.18421696061708906,0.859886903552561,1
생산자물가지수,선철 (2015=100),2011/07 ~ 2021/12,126,0.8229211796825848,0.8159850369423075,0.7892746020300673,0.7702694444173693,0.7339230391806432,0.6844777713380344,0.6364871566402887,0.5946267056212536,0.549283133611266,0.49946023381938426,0.4506816983697019,0.3946164990042897,0.3499944068247544,0.3061487445969976,0.26356688593397104,0.2164148239397915,0.18078988098136436,0.8229211796825848,3
생산자물가지수,합금철 (2015=100),2011/07 ~ 2021/12,126,0.6997973604590226,0.6847856753051313,0.6611149882870969,0.62147390531222,0.5484867691964925,0.47279404314623735,0.3919147386693154,0.3182348239500918,0.25128401127995625,0.19765625353243743,0.1608936691422077,0.13720605555573875,0.11046026985604657,0.07561760442743372,0.045727298472253666,0.017324197847478965,-0.015958596089355834,0.6997973604590226,3
생산자물가지수,조강 (2015=100),2011/07 ~ 2021/12,126,0.8004982986213315,0.7900257535663534,0.7685851496288907,0.7306501302747084,0.690020628731845,0.6309364295142939,0.5664282555452176,0.5009088708932389,0.42926352882235763,0.35996417566591127,0.30634025465222,0.25422530725514914,0.20078674661321386,0.1583655181099388,0.11651870714209832,0.07270724402900225,0.03432545762136021,0.8004982986213315,3
생산자물가지수,철근및봉강 (2015=100),2011/07 ~ 2021/12,126,0.9142928163127735,0.9394182714502538,0.9500519522875169,0.9464342477354528,0.9198370577390871,0.8691826259067544,0.8041468380320534,0.7426841594582971,0.6758797941593896,0.6123713276533372,0.5470634260684661,0.47133740920805484,0.39291630117834686,0.3313145489975395,0.27446949458554337,0.22401003735607486,0.18242729638339478,0.9500519522875169,1
생산자물가지수,형강 (2015=100),2011/07 ~ 2021/12,126,0.9017450498795168,0.9325968708682422,0.9530305048574106,0.950042516168605,0.91619233624392,0.8654658431762584,0.8087679435328297,0.7446776230347572,0.6717117038235576,0.5928063535602736,0.5059043920245929,0.41517201426509254,0.34239566153186723,0.2805713013460077,0.21655023939742568,0.15740862134748348,0.11670689064132554,0.9530305048574106,1
생산자물가지수,선재및궤조 (2015=100),2011/07 ~ 2021/12,126,0.6931576068715373,0.6683720858112698,0.6362651379524304,0.5967622953940638,0.5500914148206507,0.493060379395432,0.4336276012442288,0.3736551843948113,0.3158603311349502,0.2675026232364884,0.22144686961756896,0.18077253404029373,0.1360195733976643,0.09874785583965129,0.06315115353583949,0.029646580259582236,-0.00011065516924756856,0.6931576068715373,3
